id,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
alumina_plant_Region18Hunan,119112.96712014789,69547.6665136296,29806.142791555525,0.0,0.0,0.0,0.0,218466.77642533302
alumina_plant_Region5Innermongolia,278502.73123249266,2.2997260893840857e9,9.855968954503224e8,0.0,0.0,0.0,0.0,3.2856014875656404e9
alumina_plant_Region10Jiangsu,51086.735432847265,29828.517625372,12783.650410873723,0.0,0.0,0.0,0.0,93698.903469093
alumina_plant_Region14Jiangxi,11588.199130613633,6.4607312094097525e7,2.768884804032755e7,0.0,0.0,0.0,0.0,9.23077483335557e7
alumina_plant_Region7Jilin,57835.08273808478,33768.741928821684,14472.317969495005,0.0,0.0,0.0,0.0,106076.14263640148
alumina_plant_Region6Liaoning,25156.385182658443,14688.307492224365,6294.988925239026,0.0,0.0,0.0,0.0,46139.68160012184
alumina_plant_Region30Ningxia,26968.806539713216,15746.543880505084,6748.51880593077,0.0,0.0,0.0,0.0,49463.869226149065
alumina_plant_Region29Qinghai,54274.50411024927,31689.791660086627,13581.3392828943,0.0,0.0,0.0,0.0,99545.6350532302
alumina_plant_Region27Shaanxi,46408.28435276118,27096.86410867339,11612.941760859998,0.0,0.0,0.0,0.0,85118.09022229456
alumina_plant_Region15Shandong,8066.174108051394,3.0663177006723553e10,1.3141361574310074e10,0.0,0.0,0.0,0.0,4.380454664720773e10
alumina_plant_Region4Shanxi,8751.309459608441,4.713617848481623e10,2.020121935063557e10,0.0,0.0,0.0,0.0,6.733740658676126e10
alumina_plant_Region23Sichuan,23389.483770283736,13656.649284379153,5852.849693305333,0.0,0.0,0.0,0.0,42898.98274796822
alumina_plant_Region26Tibet,981.7724742473563,573.2372073507572,245.67308886461086,0.0,0.0,0.0,0.0,1800.6827704627244
alumina_plant_Region31Xinjiang,3.347338438038883e7,1.9544436095035713e7,8.376186897872434e6,0.0,0.0,0.0,0.0,6.1394007373296976e7
alumina_plant_Region25Yunnan,11336.431978556018,3.048489044527112e9,1.3064953047973385e9,0.0,0.0,0.0,0.0,4.35499568575643e9
alumina_plant_Region11Zhejiang,10201.22484953804,1.204292877473311e7,5.161255189171318e6,0.0,0.0,0.0,0.0,1.7214385188753966e7
aluminum_transport_Region1Beijing_to_Region2Tianjin,0.0,0.0,871.5336710279455,0.0,0.0,0.0,0.0,871.5336710279455
aluminum_transport_Region1Beijing_to_Region3Hebei,0.0,0.0,541.8393128909867,0.0,0.0,0.0,0.0,541.8393128909867
aluminum_transport_Region1Beijing_to_Region4Shanxi,0.0,0.0,476.8804861439469,0.0,0.0,0.0,0.0,476.8804861439469
aluminum_transport_Region1Beijing_to_Region5Innermongolia,0.0,0.0,673.4186645094455,0.0,0.0,0.0,0.0,673.4186645094455
aluminum_transport_Region1Beijing_to_Region6Liaoning,0.0,0.0,21647.281241578476,0.0,0.0,0.0,0.0,21647.281241578476
aluminum_transport_Region1Beijing_to_Region7Jilin,0.0,0.0,75192.22727176211,0.0,0.0,0.0,0.0,75192.22727176211
aluminum_transport_Region1Beijing_to_Region8Heilongjiang,0.0,0.0,90327.7250092421,0.0,0.0,0.0,0.0,90327.7250092421
aluminum_transport_Region1Beijing_to_Region9Shanghai,0.0,0.0,2381.0117278851485,0.0,0.0,0.0,0.0,2381.0117278851485
aluminum_transport_Region1Beijing_to_Region10Jiangsu,0.0,0.0,2274.965255109866,0.0,0.0,0.0,0.0,2274.965255109866
aluminum_transport_Region1Beijing_to_Region11Zhejiang,0.0,0.0,2625.1066085211232,0.0,0.0,0.0,0.0,2625.1066085211232
aluminum_transport_Region1Beijing_to_Region12Anhui,0.0,0.0,2126.4263719416517,0.0,0.0,0.0,0.0,2126.4263719416517
aluminum_transport_Region1Beijing_to_Region13Fujian,0.0,0.0,3232.6852574604263,0.0,0.0,0.0,0.0,3232.6852574604263
aluminum_transport_Region1Beijing_to_Region14Jiangxi,0.0,0.0,2338.8812718141644,0.0,0.0,0.0,0.0,2338.8812718141644
aluminum_transport_Region1Beijing_to_Region15Shandong,0.0,0.0,672.6330703427051,0.0,0.0,0.0,0.0,672.6330703427051
aluminum_transport_Region1Beijing_to_Region16Henan,0.0,0.0,962.956406779524,0.0,0.0,0.0,0.0,962.956406779524
aluminum_transport_Region1Beijing_to_Region17Hubei,0.0,0.0,1701.345721973977,0.0,0.0,0.0,0.0,1701.345721973977
aluminum_transport_Region1Beijing_to_Region18Hunan,0.0,0.0,2117.701336159974,0.0,0.0,0.0,0.0,2117.701336159974
aluminum_transport_Region1Beijing_to_Region19Guangdong,0.0,0.0,2874.843620103459,0.0,0.0,0.0,0.0,2874.843620103459
aluminum_transport_Region1Beijing_to_Region20Guangxi,0.0,0.0,1589.40834491736,0.0,0.0,0.0,0.0,1589.40834491736
aluminum_transport_Region1Beijing_to_Region21Hainan,0.0,0.0,1897.1296383722433,0.0,0.0,0.0,0.0,1897.1296383722433
aluminum_transport_Region1Beijing_to_Region22Chongqing,0.0,0.0,1369.26839350616,0.0,0.0,0.0,0.0,1369.26839350616
aluminum_transport_Region1Beijing_to_Region23Sichuan,0.0,0.0,1785.5204582067015,0.0,0.0,0.0,0.0,1785.5204582067015
aluminum_transport_Region1Beijing_to_Region24Guizhou,0.0,0.0,1364.1849857855166,0.0,0.0,0.0,0.0,1364.1849857855166
aluminum_transport_Region1Beijing_to_Region25Yunnan,0.0,0.0,1682.1596427010472,0.0,0.0,0.0,0.0,1682.1596427010472
aluminum_transport_Region1Beijing_to_Region27Shaanxi,0.0,0.0,1053.7998855255994,0.0,0.0,0.0,0.0,1053.7998855255994
aluminum_transport_Region1Beijing_to_Region28Gansu,0.0,0.0,1387.844003345474,0.0,0.0,0.0,0.0,1387.844003345474
aluminum_transport_Region1Beijing_to_Region29Qinghai,0.0,0.0,1613.2938470815416,0.0,0.0,0.0,0.0,1613.2938470815416
aluminum_transport_Region1Beijing_to_Region30Ningxia,0.0,0.0,1101.911297266436,0.0,0.0,0.0,0.0,1101.911297266436
aluminum_transport_Region1Beijing_to_Region31Xinjiang,0.0,0.0,3258.996728879101,0.0,0.0,0.0,0.0,3258.996728879101
aluminum_transport_Region2Tianjin_to_Region1Beijing,0.0,0.0,714.1550002766365,0.0,0.0,0.0,0.0,714.1550002766365
aluminum_transport_Region2Tianjin_to_Region3Hebei,0.0,0.0,522.2572278444595,0.0,0.0,0.0,0.0,522.2572278444595
