zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,2703.1777696229396,0.0,0.0,0.0,0.0,2703.1777696229396
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,2483.7830877425818,0.0,0.0,0.0,0.0,2483.7830877425818
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,2918.1827784037255,0.0,0.0,0.0,0.0,2918.1827784037255
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,2561.844900554097,0.0,0.0,0.0,0.0,2561.844900554097
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,2726.1044755872604,0.0,0.0,0.0,0.0,2726.1044755872604
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,2992.6898891929195,0.0,0.0,0.0,0.0,2992.6898891929195
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,2936.9058663562237,0.0,0.0,0.0,0.0,2936.9058663562237
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,3538.8178000102675,0.0,0.0,0.0,0.0,3538.8178000102675
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,3937.3474499511804,0.0,0.0,0.0,0.0,3937.3474499511804
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,6314.601838146376,0.0,0.0,0.0,0.0,6314.601838146376
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,1292.7404201164586,0.0,0.0,0.0,0.0,1292.7404201164586
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,1580.939058925194,0.0,0.0,0.0,0.0,1580.939058925194
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,1469.5658605617384,0.0,0.0,0.0,0.0,1469.5658605617384
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,1568.316352538776,0.0,0.0,0.0,0.0,1568.316352538776
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,23932.877670841022,0.0,0.0,0.0,0.0,23932.877670841022
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,4328.670903297147,0.0,0.0,0.0,0.0,4328.670903297147
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,5735.668916559118,0.0,0.0,0.0,0.0,5735.668916559118
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,7404.789154660935,0.0,0.0,0.0,0.0,7404.789154660935
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,7564.522980922306,0.0,0.0,0.0,0.0,7564.522980922306
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,5599.436823480645,0.0,0.0,0.0,0.0,5599.436823480645
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,5230.7637751389175,0.0,0.0,0.0,0.0,5230.7637751389175
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,3986.1768081899527,0.0,0.0,0.0,0.0,3986.1768081899527
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,3494.0247703331916,0.0,0.0,0.0,0.0,3494.0247703331916
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,4719.922647634802,0.0,0.0,0.0,0.0,4719.922647634802
